Indicador;Valor;Município;Sigla UF;Código do Município
População residente em favelas;Não há;Pedra Branca do Amapari ;AP;1600154
Porcentagem que reside em favelas na população total;Não há;Pedra Branca do Amapari ;AP;1600154
