Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Itaubal ;AP;1600253
1980;;Itaubal ;AP;1600253
1991;;Itaubal ;AP;1600253
2000;2894;Itaubal ;AP;1600253
2010;4265;Itaubal ;AP;1600253
2022;5599;Itaubal ;AP;1600253
