País;Pessoas;Município;Sigla UF;Código do Município
Bolívia;10;Capanema ;PA;1502202
China;10;Capanema ;PA;1502202
Colômbia;10;Capanema ;PA;1502202
Espanha;10;Capanema ;PA;1502202
