Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;116;100,00;Capixaba ;AC;1200179
Proteção integral;0;0;Capixaba ;AC;1200179
Proteção integral e uso sustentável;0;0;Capixaba ;AC;1200179
