Lugar;Pessoas;Município;Sigla UF;Código do Município
Minas Gerais;43;Maracanã ;PA;1504307
Santa Catarina;41;Maracanã ;PA;1504307
Exterior;37;Maracanã ;PA;1504307
Rio de Janeiro;18;Maracanã ;PA;1504307
São Paulo;14;Maracanã ;PA;1504307
Maranhão;13;Maracanã ;PA;1504307
Amazonas;11;Maracanã ;PA;1504307
