Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Bagre ;PA;1501105
Proteção integral;-;-;Bagre ;PA;1501105
Proteção integral e uso sustentável;-;-;Bagre ;PA;1501105
