Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,86;Igarapé-Açu ;PA;1503200
Naturalizados brasileiros;0,02;Igarapé-Açu ;PA;1503200
Estrangeiros;0,12;Igarapé-Açu ;PA;1503200
