Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Itamarati ;AM;1301951
Proteção integral;-;-;Itamarati ;AM;1301951
Proteção integral e uso sustentável;-;-;Itamarati ;AM;1301951
