Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Uarini ;AM;1304260
1980;;Uarini ;AM;1304260
1991;5407;Uarini ;AM;1304260
2000;10254;Uarini ;AM;1304260
2010;11891;Uarini ;AM;1304260
2022;14431;Uarini ;AM;1304260
