País;Pessoas;Município;Sigla UF;Código do Município
Peru;39;Assis Brasil ;AC;1200054
Haiti;7;Assis Brasil ;AC;1200054
Benin;4;Assis Brasil ;AC;1200054
Bolívia;2;Assis Brasil ;AC;1200054
