Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,91;Santana ;AP;1600600
Naturalizados brasileiros;0,06;Santana ;AP;1600600
Estrangeiros;0,03;Santana ;AP;1600600
