Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Bujari ;AC;1200138
Naturalizados brasileiros;0;Bujari ;AC;1200138
Estrangeiros;0;Bujari ;AC;1200138
