2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
1094;1061;Branca;Serra do Navio ;AP;1600055
201;370;Preta;Serra do Navio ;AP;1600055
13;1;Amarela;Serra do Navio ;AP;1600055
3071;3238;Parda;Serra do Navio ;AP;1600055
1;3;Indígena;Serra do Navio ;AP;1600055
