Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Envira ;AM;1301506
Proteção integral;-;-;Envira ;AM;1301506
Proteção integral e uso sustentável;-;-;Envira ;AM;1301506
