Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Acrelândia ;AC;1200013
Proteção integral;-;-;Acrelândia ;AC;1200013
Proteção integral e uso sustentável;-;-;Acrelândia ;AC;1200013
