Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,70;Capanema ;PA;1502202
Naturalizados brasileiros;0,03;Capanema ;PA;1502202
Estrangeiros;0,27;Capanema ;PA;1502202
