Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,91;Cutias ;AP;1600212
Naturalizados brasileiros;0;Cutias ;AP;1600212
Estrangeiros;0,09;Cutias ;AP;1600212
