Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;565;100,00;Juruá ;AM;1302207
Proteção integral;0;0;Juruá ;AM;1302207
Proteção integral e uso sustentável;0;0;Juruá ;AM;1302207
