Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;9927;Santa Maria do Pará ;PA;1506609
1980;14345;Santa Maria do Pará ;PA;1506609
1991;17946;Santa Maria do Pará ;PA;1506609
2000;20850;Santa Maria do Pará ;PA;1506609
2010;23026;Santa Maria do Pará ;PA;1506609
2022;24624;Santa Maria do Pará ;PA;1506609
