Lugar;Pessoas;Município;Sigla UF;Código do Município
Acre;548;Guajará ;AM;1301654
Rondônia;23;Guajará ;AM;1301654
Ceará;9;Guajará ;AM;1301654
Goiás;5;Guajará ;AM;1301654
