Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Capanema ;PA;1502202
Proteção integral;-;-;Capanema ;PA;1502202
Proteção integral e uso sustentável;-;-;Capanema ;PA;1502202
