Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Porto Grande ;AP;1600535
1980;;Porto Grande ;AP;1600535
1991;;Porto Grande ;AP;1600535
2000;11042;Porto Grande ;AP;1600535
2010;16809;Porto Grande ;AP;1600535
2022;17848;Porto Grande ;AP;1600535
