Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;18331;Augusto Corrêa ;PA;1500909
1980;26404;Augusto Corrêa ;PA;1500909
1991;30323;Augusto Corrêa ;PA;1500909
2000;33011;Augusto Corrêa ;PA;1500909
2010;40497;Augusto Corrêa ;PA;1500909
2022;44573;Augusto Corrêa ;PA;1500909
