Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Uruará ;PA;1508159
Naturalizados brasileiros;0;Uruará ;PA;1508159
Estrangeiros;0;Uruará ;PA;1508159
