Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;12846;Ipixuna ;AM;1301803
1980;18744;Ipixuna ;AM;1301803
1991;9653;Ipixuna ;AM;1301803
2000;14759;Ipixuna ;AM;1301803
2010;22254;Ipixuna ;AM;1301803
2022;24311;Ipixuna ;AM;1301803
