Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,97;São Francisco do Pará ;PA;1507409
Naturalizados brasileiros;0;São Francisco do Pará ;PA;1507409
Estrangeiros;0,03;São Francisco do Pará ;PA;1507409
