Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;X;X;Santana ;AP;1600600
Proteção integral;X;X;Santana ;AP;1600600
Proteção integral e uso sustentável;X;X;Santana ;AP;1600600
