Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;331;100,00;Tracuateua ;PA;1508035
Proteção integral;0;0;Tracuateua ;PA;1508035
Proteção integral e uso sustentável;0;0;Tracuateua ;PA;1508035
