Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,53;Plácido de Castro ;AC;1200385
Naturalizados brasileiros;0,25;Plácido de Castro ;AC;1200385
Estrangeiros;0,22;Plácido de Castro ;AC;1200385
