Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;São Francisco do Pará ;PA;1507409
Proteção integral;-;-;São Francisco do Pará ;PA;1507409
Proteção integral e uso sustentável;-;-;São Francisco do Pará ;PA;1507409
