Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;450;100,00;Marapanim ;PA;1504406
Proteção integral;0;0;Marapanim ;PA;1504406
Proteção integral e uso sustentável;0;0;Marapanim ;PA;1504406
