Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,99;Envira ;AM;1301506
Naturalizados brasileiros;0,01;Envira ;AM;1301506
Estrangeiros;0;Envira ;AM;1301506
