Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;83977;Rio Branco ;AC;1200401
1980;117101;Rio Branco ;AC;1200401
1991;197376;Rio Branco ;AC;1200401
2000;253059;Rio Branco ;AC;1200401
2010;336038;Rio Branco ;AC;1200401
2022;364756;Rio Branco ;AC;1200401
