Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Anapu ;PA;1500859
Naturalizados brasileiros;0;Anapu ;PA;1500859
Estrangeiros;0;Anapu ;PA;1500859
