Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Quatipuru ;PA;1506112
1980;;Quatipuru ;PA;1506112
1991;;Quatipuru ;PA;1506112
2000;10905;Quatipuru ;PA;1506112
2010;12411;Quatipuru ;PA;1506112
2022;11524;Quatipuru ;PA;1506112
