Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,84;Pedra Branca do Amapari ;AP;1600154
Naturalizados brasileiros;0,10;Pedra Branca do Amapari ;AP;1600154
Estrangeiros;0,06;Pedra Branca do Amapari ;AP;1600154
