País;Pessoas;Município;Sigla UF;Código do Município
Venezuela;25;Tefé ;AM;1304203
Bolívia;12;Tefé ;AM;1304203
Portugal;11;Tefé ;AM;1304203
Filipinas;8;Tefé ;AM;1304203
Colômbia;4;Tefé ;AM;1304203
