Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;10882;Eirunepé ;AM;1301407
1980;14770;Eirunepé ;AM;1301407
1991;20372;Eirunepé ;AM;1301407
2000;26074;Eirunepé ;AM;1301407
2010;30665;Eirunepé ;AM;1301407
2022;33170;Eirunepé ;AM;1301407
