País;Pessoas;Município;Sigla UF;Código do Município
Guiana Francesa;245;Macapá ;AP;1600303
Bolívia;85;Macapá ;AP;1600303
Angola;69;Macapá ;AP;1600303
Suriname;45;Macapá ;AP;1600303
Argentina;44;Macapá ;AP;1600303
Portugal;18;Macapá ;AP;1600303
