Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Santa Maria do Pará ;PA;1506609
Naturalizados brasileiros;0;Santa Maria do Pará ;PA;1506609
Estrangeiros;0;Santa Maria do Pará ;PA;1506609
