Lugar;Pessoas;Município;Sigla UF;Código do Município
Acre;79;Eirunepé ;AM;1301407
Rio de Janeiro;24;Eirunepé ;AM;1301407
Pernambuco;14;Eirunepé ;AM;1301407
São Paulo;14;Eirunepé ;AM;1301407
Exterior;8;Eirunepé ;AM;1301407
