Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;80;100,00;Bujari ;AC;1200138
Proteção integral;0;0;Bujari ;AC;1200138
Proteção integral e uso sustentável;0;0;Bujari ;AC;1200138
