Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;6084;Bonito ;PA;1501600
1980;8488;Bonito ;PA;1501600
1991;8532;Bonito ;PA;1501600
2000;9814;Bonito ;PA;1501600
2010;13630;Bonito ;PA;1501600
2022;12622;Bonito ;PA;1501600
