Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Maracanã ;PA;1504307
Naturalizados brasileiros;0;Maracanã ;PA;1504307
Estrangeiros;0;Maracanã ;PA;1504307
