Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,93;Porto Grande ;AP;1600535
Naturalizados brasileiros;0,07;Porto Grande ;AP;1600535
Estrangeiros;0;Porto Grande ;AP;1600535
