Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;9651;Salinópolis ;PA;1506203
1980;14349;Salinópolis ;PA;1506203
1991;22670;Salinópolis ;PA;1506203
2000;33449;Salinópolis ;PA;1506203
2010;37421;Salinópolis ;PA;1506203
2022;44772;Salinópolis ;PA;1506203
