Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Brasil Novo ;PA;1501725
Proteção integral;-;-;Brasil Novo ;PA;1501725
Proteção integral e uso sustentável;-;-;Brasil Novo ;PA;1501725
