Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Plácido de Castro ;AC;1200385
Proteção integral;-;-;Plácido de Castro ;AC;1200385
Proteção integral e uso sustentável;-;-;Plácido de Castro ;AC;1200385
