Lugar;Pessoas;Município;Sigla UF;Código do Município
Rondônia;296;Acrelândia ;AC;1200013
Amazonas;55;Acrelândia ;AC;1200013
Minas Gerais;24;Acrelândia ;AC;1200013
Mato Grosso;12;Acrelândia ;AC;1200013
Exterior;11;Acrelândia ;AC;1200013
Ceará;10;Acrelândia ;AC;1200013
Paraná;9;Acrelândia ;AC;1200013
Brasil sem especificação;5;Acrelândia ;AC;1200013
Piauí;4;Acrelândia ;AC;1200013
Rio de Janeiro;4;Acrelândia ;AC;1200013
