Situação;População(pessoas);Percentual;Município;Sigla UF;Código do Município
Alfabetizados;11739;91,01;São Caetano de Odivelas ;PA;1507102
Não alfabetizados;1160;8,99;São Caetano de Odivelas ;PA;1507102
