Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,94;Peixe-Boi ;PA;1505601
Naturalizados brasileiros;0,06;Peixe-Boi ;PA;1505601
Estrangeiros;0;Peixe-Boi ;PA;1505601
