Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;21512;Primavera ;PA;1506104
1980;26479;Primavera ;PA;1506104
1991;17132;Primavera ;PA;1506104
2000;9718;Primavera ;PA;1506104
2010;10268;Primavera ;PA;1506104
2022;10851;Primavera ;PA;1506104
