Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Porto Acre ;AC;1200807
1980;;Porto Acre ;AC;1200807
1991;;Porto Acre ;AC;1200807
2000;11418;Porto Acre ;AC;1200807
2010;14880;Porto Acre ;AC;1200807
2022;16693;Porto Acre ;AC;1200807
