Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,92;Porto Acre ;AC;1200807
Naturalizados brasileiros;0,05;Porto Acre ;AC;1200807
Estrangeiros;0,04;Porto Acre ;AC;1200807
