País;Pessoas;Município;Sigla UF;Código do Município
Venezuela;136;Rio Branco ;AC;1200401
Bolívia;58;Rio Branco ;AC;1200401
Peru;36;Rio Branco ;AC;1200401
Colômbia;30;Rio Branco ;AC;1200401
Cuba;25;Rio Branco ;AC;1200401
Argentina;23;Rio Branco ;AC;1200401
Portugal;16;Rio Branco ;AC;1200401
