2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
3183;2879;Branca;São Caetano de Odivelas ;PA;1507102
381;950;Preta;São Caetano de Odivelas ;PA;1507102
34;12;Amarela;São Caetano de Odivelas ;PA;1507102
13292;12819;Parda;São Caetano de Odivelas ;PA;1507102
1;6;Indígena;São Caetano de Odivelas ;PA;1507102
