Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Ipixuna ;AM;1301803
Naturalizados brasileiros;0;Ipixuna ;AM;1301803
Estrangeiros;0;Ipixuna ;AM;1301803
