Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Plácido de Castro ;AC;1200385
Porcentagem da população que reside em Unidades de Conservação;Não há;Plácido de Castro ;AC;1200385
