Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Vigia ;PA;1508209
Naturalizados brasileiros;0;Vigia ;PA;1508209
Estrangeiros;0,05;Vigia ;PA;1508209
