Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;16922;Marapanim ;PA;1504406
1980;17721;Marapanim ;PA;1504406
1991;20087;Marapanim ;PA;1504406
2000;24718;Marapanim ;PA;1504406
2010;26605;Marapanim ;PA;1504406
2022;26573;Marapanim ;PA;1504406
