Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,86;Gurupá ;PA;1503101
Naturalizados brasileiros;0;Gurupá ;PA;1503101
Estrangeiros;0,14;Gurupá ;PA;1503101
