Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Primavera ;PA;1506104
Naturalizados brasileiros;0;Primavera ;PA;1506104
Estrangeiros;0,05;Primavera ;PA;1506104
