Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Marapanim ;PA;1504406
Naturalizados brasileiros;0;Marapanim ;PA;1504406
Estrangeiros;0,05;Marapanim ;PA;1504406
