Lugar;Pessoas;Município;Sigla UF;Código do Município
São Paulo;10;Uarini ;AM;1304260
Pará;8;Uarini ;AM;1304260
Paraná;4;Uarini ;AM;1304260
Exterior;4;Uarini ;AM;1304260
